,zip,latitude,longitude,distance,duration,state,population,house_value,household_income,count_veg_restaurants
0,20772,38.781028,-76.778818,22.1 mi,37 mins,MD,50303,306400,107838,1
1,20877,39.139295000000004,-77.180452,27.3 mi,33 mins,MD,39822,344100,68896,3
2,20003,38.877752,-76.986546,5.7 mi,13 mins,DC,38565,766900,126323,5
3,20005,38.904224,-77.031798,4.6 mi,12 mins,DC,13390,489900,94611,4
4,22303,38.790068,-77.081205,9.6 mi,22 mins,VA,16549,390500,94227,1
5,20105,38.960832,-77.60435,34.2 mi,47 mins,VA,32554,508600,153314,2
6,20121,38.815894,-77.460849,26.7 mi,33 mins,VA,28945,373100,98051,4
7,20814,39.004804,-77.102477,18.9 mi,27 mins,MD,31894,759100,126077,10
8,20878,39.111862,-77.245232,25.9 mi,34 mins,MD,68670,571000,127653,8
9,21228,39.267542,-76.74459,40.3 mi,48 mins,MD,46692,306700,84257,3
10,21044,39.20442,-76.881353,37.1 mi,45 mins,MD,45408,396700,102896,7
11,21703,39.361267,-77.458616,51.3 mi,58 mins,MD,42448,265800,83142,1
12,22311,38.833892999999996,-77.122082,6.9 mi,13 mins,VA,19663,519400,68488,2
13,21224,39.278452,-76.534232,47.9 mi,56 mins,MD,55171,201700,69615,5
14,20165,39.047357,-77.386479,27.1 mi,39 mins,VA,33385,505700,143085,2
15,20783,39.00357,-76.97103,23.4 mi,32 mins,MD,47072,277700,63465,1
16,21230,39.264256,-76.621678,42.9 mi,52 mins,MD,39178,266100,81446,10
17,22406,38.402857,-77.54719,51.1 mi,59 mins,VA,28653,360300,98427,1
18,22039,38.754931,-77.310158,23.2 mi,30 mins,VA,18577,814300,210000,1
19,21401,38.99339,-76.546985,34.0 mi,42 mins,MD,40965,463600,100909,9
20,22304,38.812166999999995,-77.126406,8.4 mi,13 mins,VA,48016,350600,80676,1
21,22032,38.820952,-77.288944,17.7 mi,26 mins,VA,29604,586300,144628,1
22,22150,38.76113,-77.186046,13.2 mi,20 mins,VA,27317,451600,99566,5
23,20006,38.895101000000004,-77.039776,3.0 mi,10 mins,DC,1137,231900,46319,3
24,21403,38.941478000000004,-76.491481,37.8 mi,46 mins,MD,31976,452100,94265,5
25,20151,38.886153,-77.450992,27.1 mi,32 mins,VA,23189,503700,124258,3
26,22180,38.897426,-77.252868,13.9 mi,23 mins,VA,28018,689000,147324,5
27,22182,38.936147999999996,-77.267598,15.3 mi,18 mins,VA,28995,856400,188918,3
28,22207,38.909812,-77.12016,5.9 mi,13 mins,VA,31678,924300,183761,1
29,20701,39.129228,-76.789212,29.0 mi,37 mins,MD,820,0,0,1
30,20164,39.014127,-77.399912,25.3 mi,36 mins,VA,38959,364300,96442,1
31,20191,38.93112,-77.351394,22.8 mi,30 mins,VA,30085,470300,116842,4
32,21208,39.382375,-76.725876,51.5 mi,59 mins,MD,34573,254600,79800,2
33,20640,38.561143,-77.169683,35.2 mi,50 mins,MD,10604,222500,67783,1
34,21244,39.333482000000004,-76.784446,48.4 mi,59 mins,MD,37385,200000,68874,2
35,20016,38.93684,-77.093123,6.5 mi,20 mins,DC,30681,923500,150997,2
36,21061,39.162631,-76.63987,38.9 mi,46 mins,MD,56271,247200,67128,1
37,22044,38.861478,-77.155248,7.8 mi,17 mins,VA,13992,561800,81491,2
38,20019,38.892782000000004,-76.94051,10.0 mi,19 mins,DC,57479,275600,36398,1
39,20707,39.096924,-76.882979,28.1 mi,38 mins,MD,38241,300300,79754,4
40,22201,38.886594,-77.094726,3.5 mi,10 mins,VA,38999,671100,125363,5
41,20011,38.950224,-77.019714,10.0 mi,26 mins,DC,65952,534600,71569,3
42,20110,38.746216,-77.489106,33.8 mi,46 mins,VA,47702,324500,81042,2
43,20155,38.813292,-77.633941,36.7 mi,42 mins,VA,37072,468200,131184,1
44,20166,38.982834000000004,-77.471524,27.9 mi,32 mins,VA,16539,392600,105248,2
45,20910,39.00335,-77.035444,23.2 mi,29 mins,MD,46696,556000,84645,8
46,22202,38.859829,-77.053278,3.4 mi,7 mins,VA,28825,645800,110817,7
47,20015,38.96829,-77.064974,7.6 mi,28 mins,DC,15967,961600,158443,1
48,20715,38.992636,-76.73894,25.7 mi,36 mins,MD,25656,322800,114967,2
49,20882,39.229095,-77.142379,35.2 mi,46 mins,MD,14480,577600,147957,1
50,20763,39.13476,-76.816239,30.3 mi,38 mins,MD,2880,341100,71250,1
51,20782,38.965947,-76.967548,11.5 mi,32 mins,MD,34059,300900,69437,1
52,20708,39.051006,-76.83148,23.6 mi,32 mins,MD,27828,323900,74413,1
53,21043,39.256902000000004,-76.791739,40.2 mi,52 mins,MD,49557,474700,118263,4
54,21054,39.025663,-76.665275,30.3 mi,41 mins,MD,14089,393300,120054,2
55,20874,39.139475,-77.288029,31.8 mi,42 mins,MD,61765,314300,90273,2
56,20004,38.892444,-77.020588,4.3 mi,9 mins,DC,2219,546900,147522,5
57,21770,39.348111,-77.257048,43.9 mi,51 mins,MD,7882,399000,134130,1
58,20032,38.830147,-77.009214,9.2 mi,17 mins,DC,39762,259900,37711,1
59,20120,38.859809999999996,-77.466616,26.5 mi,34 mins,VA,42765,476800,122165,2
60,22203,38.874992999999996,-77.122609,6.5 mi,13 mins,VA,26749,589700,103654,6
61,20712,38.942781,-76.966558,10.2 mi,27 mins,MD,9818,335500,54769,3
62,20132,39.173958,-77.73253,51.4 mi,57 mins,VA,18094,511100,138687,1
63,21201,39.295392,-76.623935,42.9 mi,53 mins,MD,20351,209500,34559,9
64,20737,38.962414,-76.915311,14.8 mi,23 mins,MD,23333,247800,63909,2
65,20879,39.176351,-77.183173,29.7 mi,40 mins,MD,27029,319900,91393,3
66,20020,38.862289000000004,-76.97296,7.1 mi,17 mins,DC,53596,293600,36075,3
67,22015,38.785306,-77.286075,18.4 mi,27 mins,VA,43224,493500,133286,1
68,22554,38.432776,-77.395156,40.0 mi,46 mins,VA,63599,344100,116357,2
69,20639,38.610104,-76.598868,41.0 mi,53 mins,MD,15717,433400,133729,1
70,21409,39.019922,-76.454498,39.8 mi,47 mins,MD,21196,424800,118539,1
71,21217,39.30754,-76.637621,44.3 mi,57 mins,MD,32336,124800,29121,1
72,20012,38.97827,-77.02853,10.9 mi,27 mins,DC,14907,607200,91667,1
73,20735,38.739406,-76.911837,20.6 mi,37 mins,MD,38938,286700,108686,2
74,20745,38.805865000000004,-76.999525,13.0 mi,19 mins,MD,32727,227700,59100,1
75,20755,39.082606,-76.770192,27.6 mi,35 mins,MD,10017,0,77740,1
76,22204,38.861504,-77.100112,5.7 mi,12 mins,VA,54732,486500,84525,2
77,22030,38.837256,-77.342008,20.1 mi,26 mins,VA,54413,581200,119624,6
78,20850,39.08916,-77.190884,22.6 mi,27 mins,MD,52927,592400,110102,6
79,20037,38.898708,-77.053967,3.4 mi,8 mins,DC,11958,637900,89475,4
80,20751,38.794002,-76.557262,32.9 mi,43 mins,MD,2450,350500,93061,1
81,20812,38.968422,-77.14235,14.6 mi,21 mins,MD,258,898000,220313,1
82,22102,38.959942,-77.224902,14.0 mi,19 mins,VA,30843,882800,115099,5
83,21222,39.257661999999996,-76.495098,50.9 mi,59 mins,MD,58288,146300,52339,1
84,22305,38.836316,-77.065006,5.3 mi,13 mins,VA,18099,618200,91345,2
85,20732,38.659894,-76.539202,41.2 mi,55 mins,MD,10498,329800,100567,1
86,20817,39.003314,-77.159528,15.0 mi,20 mins,MD,37791,893300,187731,1
87,20852,39.052614,-77.123153,21.6 mi,28 mins,MD,47963,497200,95572,8
88,21202,39.295823999999996,-76.607773,44.2 mi,59 mins,MD,20412,238300,46660,5
89,20008,38.935771,-77.059213,6.8 mi,17 mins,DC,30244,776000,117195,3
90,20109,38.793688,-77.53645,30.3 mi,35 mins,VA,43578,266600,70629,1
91,20895,39.02667,-77.081017,21.1 mi,27 mins,MD,19065,613600,144054,4
92,20017,38.937006,-76.993674,8.6 mi,23 mins,DC,18459,477600,77560,3
93,21032,39.029961,-76.607438,36.2 mi,46 mins,MD,9295,444000,123996,1
94,22031,38.858907,-77.261358,15.9 mi,22 mins,VA,38109,531800,108632,4
95,20710,38.943391,-76.92546,13.3 mi,23 mins,MD,9788,227100,43741,1
96,20906,39.08528,-77.058949,26.6 mi,40 mins,MD,70109,333400,74598,1
97,20706,38.960659,-76.854733,18.1 mi,28 mins,MD,42959,278600,77087,1
98,20169,38.869358,-77.639786,40.0 mi,45 mins,VA,28880,533700,145332,1
99,21146,39.074218,-76.56524,37.9 mi,51 mins,MD,28294,528300,138797,1
100,20904,39.061229,-76.978879,28.1 mi,36 mins,MD,56392,396700,85504,2
101,22209,38.892914,-77.072571,2.0 mi,5 mins,VA,15798,658800,115292,3
102,20170,38.983721,-77.382758,24.4 mi,32 mins,VA,43293,472300,124859,7
103,20187,38.722685999999996,-77.741378,45.2 mi,53 mins,VA,19034,435700,126532,1
104,22003,38.837759,-77.210328,15.7 mi,21 mins,VA,56433,542400,101850,2
105,22192,38.676479,-77.31705,25.6 mi,34 mins,VA,58945,336800,100585,2
106,22302,38.830715,-77.093618,5.5 mi,10 mins,VA,18017,430800,105968,2
107,20190,38.960974,-77.342467,21.1 mi,28 mins,VA,21784,461700,106929,6
108,22041,38.851211,-77.14477,7.9 mi,17 mins,VA,28117,387600,69959,2
109,22046,38.88828,-77.18096,10.9 mi,17 mins,VA,17909,711300,137913,5
110,22079,38.6765,-77.206884,19.8 mi,27 mins,VA,35981,472100,113097,3
111,20871,39.265621,-77.286327,36.1 mi,41 mins,MD,29095,462500,132277,1
112,20855,39.14107,-77.138008,29.6 mi,37 mins,MD,17544,504500,134776,1
113,20010,38.932965,-77.030066,6.7 mi,24 mins,DC,32738,617300,88463,9
114,20111,38.753198,-77.429954,30.7 mi,43 mins,VA,39164,332700,88207,2
115,20175,39.052271,-77.603577,40.5 mi,45 mins,VA,33739,487700,132594,2
116,20009,38.920392,-77.038564,4.8 mi,21 mins,DC,55213,618600,107128,8
117,21075,39.200371000000004,-76.747374,35.1 mi,43 mins,MD,35751,348700,103312,2
118,21076,39.172474,-76.723683,32.8 mi,43 mins,MD,27293,370000,116098,1
119,22401,38.298282,-77.491386,51.4 mi,54 mins,VA,25777,346500,63274,3
120,20147,39.039572,-77.481613,31.8 mi,40 mins,VA,70866,498800,130507,3
121,21090,39.206336,-76.668646,39.8 mi,48 mins,MD,10909,313100,94494,1
122,20002,38.908089000000004,-76.976663,9.4 mi,25 mins,DC,76367,609300,84892,7
123,21029,39.203744,-76.951126,38.9 mi,46 mins,MD,13510,681000,192367,2
124,20171,38.926604,-77.391188,24.1 mi,31 mins,VA,55429,613200,141559,1
125,20912,38.982635,-77.003887,11.9 mi,32 mins,MD,25060,518400,73978,1
126,20815,38.984212,-77.079106,21.9 mi,29 mins,MD,32078,985700,154734,1
127,22181,38.904608,-77.295559,17.1 mi,25 mins,VA,15232,762600,167887,1
128,20740,39.001255,-76.925719,18.8 mi,29 mins,MD,29270,300300,67163,4
129,20720,38.995005,-76.790013,22.6 mi,34 mins,MD,25115,391600,135958,2
130,20770,39.001552000000004,-76.88766,18.0 mi,27 mins,MD,28043,202000,70561,6
131,20036,38.906861,-77.041385,3.8 mi,15 mins,DC,4943,383500,88553,6
132,22312,38.817522,-77.152674,8.9 mi,15 mins,VA,31272,445700,79834,1
133,20001,38.910717,-77.01666,6.1 mi,13 mins,DC,52586,659700,109318,10
134,21225,39.229842,-76.615968,40.5 mi,49 mins,MD,34070,166500,43172,1
135,21227,39.241163,-76.671835,39.3 mi,46 mins,MD,33903,207600,65395,4
136,22315,38.7575,-77.136609,15.6 mi,25 mins,VA,28191,465300,130116,1
137,20748,38.817733000000004,-76.939861,14.1 mi,25 mins,MD,40325,249100,68033,2
138,20603,38.625890999999996,-76.97828,28.9 mi,42 mins,MD,33678,324000,113274,1
139,22042,38.862956,-77.193872,10.0 mi,20 mins,VA,35156,498300,106429,2
140,20716,38.926683000000004,-76.711804,26.0 mi,34 mins,MD,23304,293400,99319,1
141,21042,39.276697999999996,-76.899406,44.4 mi,55 mins,MD,43436,585500,152787,2
142,20148,39.001489,-77.515588,30.8 mi,35 mins,VA,63375,587900,171343,1
143,22033,38.879366,-77.376768,21.1 mi,27 mins,VA,38918,485700,113188,4
144,22101,38.935853,-77.162141,9.2 mi,14 mins,VA,31164,999700,195631,1
145,20901,39.024904,-77.008287,24.5 mi,30 mins,MD,36521,433800,108357,1
146,22309,38.718398,-77.107164,20.7 mi,30 mins,VA,33216,430800,85292,1
147,20705,39.043221,-76.886123,23.1 mi,32 mins,MD,29123,329900,86260,2
148,20176,39.160038,-77.521852,44.0 mi,50 mins,VA,51930,495600,128167,4
149,22134,38.563765999999994,-77.422682,39.1 mi,45 mins,VA,4751,204200,63190,1
150,22151,38.801644,-77.210894,12.7 mi,16 mins,VA,17718,471900,122933,1
151,20902,39.04107,-77.045049,24.4 mi,32 mins,MD,53350,392100,90324,3
152,22124,38.893116,-77.328886,22.2 mi,31 mins,VA,17472,758100,161333,1
153,22191,38.623346,-77.26364,25.8 mi,33 mins,VA,77650,297900,84344,3
154,20007,38.914063,-77.077395,4.0 mi,14 mins,DC,27070,961100,130920,8
155,22314,38.814029999999995,-77.063962,6.9 mi,15 mins,VA,36097,673800,125404,6
156,21046,39.175036,-76.837241,34.1 mi,43 mins,MD,15911,371500,107081,3
157,20785,38.92274,-76.887691,14.4 mi,24 mins,MD,42105,235900,69623,1
